Grid-cell,Longitude,Latitude
1302,44.75,42.25
1303,0.25,42.75
1304,0.75,42.75
1305,1.25,42.75
1306,1.75,42.75
1307,2.25,42.75
1308,2.75,42.75
1309,9.25,42.75
1310,11.75,42.75
1311,12.75,42.75
1312,13.25,42.75
1313,13.75,42.75
1314,18.75,42.75
1315,19.25,42.75
1316,19.75,42.75
1317,20.25,42.75
1318,20.75,42.75
1319,21.25,42.75
1320,21.75,42.75
1321,22.25,42.75
1322,22.75,42.75
1323,23.25,42.75
1324,23.75,42.75
1325,24.25,42.75
1326,24.75,42.75
1327,25.25,42.75
1328,25.75,42.75
1329,26.25,42.75
1330,26.75,42.75
1331,27.25,42.75
1332,27.75,42.75
1333,42.25,42.75
1334,42.75,42.75
1335,43.25,42.75
1336,43.75,42.75
1337,44.25,42.75
1338,44.75,42.75
1339,0.25,43.25
1340,0.75,43.25
1341,1.25,43.25
1342,1.75,43.25
1343,2.25,43.25
1344,2.75,43.25
1345,3.25,43.25
1346,6.25,43.25
1347,11.25,43.25
1348,11.75,43.25
1349,12.25,43.25
1350,12.75,43.25
1351,13.25,43.25
1352,13.75,43.25
